Lið,Nafn,Tímabil,Leikir,Mörk,%,Víti,V%,Sto,Sk.F,FiV,TB,Frk,Stl,Blk,Stp,Gul,2m,Rau
IBV,Britney Emilie Florianne Cots,2023/24,4,2,32,0,0,2.3,2.6,1.3,3.3,0.3,2,0.3,4.8,0.3,1.3,0
Stjarnan,Britney Emilie Florianne Cots,2022/23,26,2.3,42.3,0,0,1.2,1.5,0.4,1.7,0.3,0.8,1.1,4,0.5,1.2,0.1
Stjarnan,Britney Emilie Florianne Cots,2021/22,21,1.8,50,0,0,0.7,0.9,0.2,1.7,0.1,0.5,0.4,3.2,0.2,1,0
IBV,Bríet Ómarsdóttir,2022/23,24,0.7,66.7,0,0,0,0,0.2,0.1,0.1,0.1,0,0.1,0,0,0
IBV,Bríet Ómarsdóttir,2021/22,20,0.8,88.2,0,0,0.3,0.4,0.2,0.3,0.1,0.1,0,0.2,0,0,0
IBV,Bríet Ómarsdóttir,2020/21,19,0.2,42.9,0,0,0.1,0.2,0.2,0.2,0.1,0,0,0.1,0,0,0
IBV,Bríet Ómarsdóttir,2019/20,18,1.1,69,0,0,0.1,0.2,0.7,0.6,0.3,0,0,0.2,0,0,0
IBV,Bríet Ómarsdóttir,2018/19,23,0.1,75,0,0,0,0,0.1,0,0,0,0,0.2,0,0,0
Stjarnan,Bryndís Hulda Ómarsdóttir,2023/24,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stjarnan,Bryndís Hulda Ómarsdóttir,2022/23,13,0.1,50,0,0,0,0,0,0.1,0,0,0,0,0,0,0
Stjarnan,Brynhildur Kjartansdóttir,2019/20,3,3.3,45.5,0,0,0.3,0.3,0.7,0.3,0,0,0,0,0,0.3,0
Stjarnan,Brynhildur Kjartansdóttir,2018/19,1,2,66.7,0,0,0,0,0,1,0,0,0,0,0,0,0
Afturelding,Brynja Fossberg Ragnarsdóttir,2023/24,4,0.5,66.7,0,0,0,0,0,0.8,0,0,0,0,0,0,0
Afturelding,Brynja Fossberg Ragnarsdóttir,2021/22,21,0.6,52.2,0,0,0.1,0.2,0.2,1.2,0.4,0.2,0,0.3,0.1,0.2,0
Afturelding,Brynja Fossberg Ragnarsdóttir,2019/20,18,0.4,66.7,0,0,0.1,0.2,0.3,0.5,0.2,0,0.1,0.8,0.1,0.3,0
Valur,Brynja Katrín Benediktsdóttir,2022/23,27,0.2,75,0,0,0,0,0,0.1,0,0,0,0,0,0,0
Valur,Brynja Katrín Benediktsdóttir,2021/22,13,0.2,33.3,0,0,0,0,0,0,0,0,0,0.1,0,0,0
Fram,Daðey Ásta Hálfdánsdóttir,2022/23,23,0.4,75,0,0,0.3,0.4,0,0.3,0,0.6,0,1,0,0.2,0
Fram,Daðey Ásta Hálfdánsdóttir,2020/21,7,0.7,71.4,0,0,0.1,0.1,0.4,0.1,0.1,0.7,0,0.6,0,0,0
Fram,Daðey Ásta Hálfdánsdóttir,2019/20,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
