Lið,Nafn,Tímabil,Leikir,Mörk,%,Víti,V%,FiV,Sto,Sk.F,P%,S7m,TB,Sto/TB,Sk.F/TB,Frk,Stl,Blk,Stp,Gul,2m,Rau,Eink
Haukar,Ragnheiður Ragnarsdóttir,2021/22,22,2,51.8,0,0,0,0.3,0.4,66.7,0,0.4,0.67,1,0.3,0.7,0,0.5,0,0.1,0,5.6
Valur,Ragnheiður Sveinsdóttir,2021/22,25,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0,0,5
Fram,Ragnheiður Júlíusdóttir,2021/22,13,6.2,46.8,1.9,89.3,0.1,2,3.9,51,0.6,3,0.67,1.31,0.3,1,0.3,1.2,0,0.1,0,6.8
Valur,Ragnheiður Sveinsdóttir,2020/21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
Fram,Ragnheiður Júlíusdóttir,2020/21,16,8.1,50.8,2.4,78,0.1,2.6,3.7,69.5,0.6,3.1,0.82,1.18,0.4,0.9,0.6,1.9,0.1,0.5,0.1,7.2
FH,Ragnheiður Tómasdóttir,2020/21,11,2.5,63.6,0,0,0.2,0.1,0.1,100,0.2,0.6,0.14,0.14,0.9,0.7,0,1.8,0,0.1,0,6
Haukar,Ragnheiður Ragnarsdóttir,2020/21,16,1.9,57.7,0,0,0.3,0.2,0.2,100,0,0.4,0.43,0.43,0.6,1,0,0.5,0,0.3,0,5.7
Haukar,Ragnheiður Sveinsdóttir,2019/20,8,1.1,47.4,0,0,0.3,0.1,0.4,33.3,0,0.3,0.5,1.5,0.5,0.6,0.1,2.4,0,0.4,0,5.6
Fram,Ragnheiður Júlíusdóttir,2019/20,18,6.3,54.9,1.8,78,0.1,2.2,3.3,66.1,0.5,1.6,1.39,2.11,0.2,0.7,0.6,1.8,0.1,0.1,0,7.2
Haukar,Ragnheiður Ragnarsdóttir,2019/20,18,1.8,62.3,0,0,0.2,0.2,0.2,100,0,0.6,0.27,0.27,0.2,0.6,0,1.4,0.1,0.1,0,5.7
Haukar,Ragnheiður Ragnarsdóttir,2018/19,13,1.5,71.4,0,0,0,0,0,0,0,0.2,0,0,0.2,0.2,0.1,0.2,0,0.3,0,5.4
Haukar,Ragnheiður Sveinsdóttir,2018/19,24,1.6,71.7,0,0,0.3,0.2,0.2,100,0,0.8,0.21,0.21,0.3,0.5,0.5,3.3,0.2,0.5,0,5.8
Fram,Ragnheiður Júlíusdóttir,2018/19,27,6.7,48.3,1.9,79.4,0.1,2.7,3.8,70.9,0.3,1.7,1.59,2.24,0.2,0.9,1,2.3,0.1,0.5,0,7.2
Stjarnan,Ragnheiður Tómasdóttir,2017/18,9,0.2,66.7,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0.1,0,0,0,5.1
Haukar,Ragnheiður Sveinsdóttir,2017/18,16,1.6,74.3,0,0,0.7,0.1,0.1,100,0,0.6,0.22,0.22,0.5,0.4,0.6,3.3,0.5,0.7,0,6
Fram,Ragnheiður Júlíusdóttir,2017/18,15,6.6,48.1,1.3,87,0.2,2.3,2.9,79.1,0.3,1.7,1.31,1.65,0.4,1.3,1.3,3.5,0.3,0.5,0,7.4
Haukar,Ragnheiður Ragnarsdóttir,2017/18,7,1.7,66.7,0,0,0.1,0.1,0.1,100,0,0.4,0.33,0.33,0.6,0.6,0,0.6,0.4,0,0,5.7
Fram,Ragnheiður Ósk Ingvarsdóttir,2017/18,2,0.5,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
Afturelding,Ragnhildur Hjartardóttir,2023/24,20,3.1,67.4,0,0,0.2,0.5,0.6,81.8,0.1,0.4,1.29,1.57,0.6,0.7,0,0.9,0.1,0.1,0,6.2
Afturelding,Ragnhildur Hjartardóttir,2021/22,9,0.6,38.5,0,0,0.1,0.2,0.2,100,0,0.4,0.5,0.5,0.3,0.4,0,0.6,0,0,0,5.2
Afturelding,Ragnhildur Hjartardóttir,2019/20,19,1.9,66.1,0,0,0.1,0.1,0.1,100,0,0.2,0.33,0.33,0.2,0.2,0.1,0.7,0,0.1,0,5.7
Valur,Ragnhildur Edda Þórðardóttir,2021/22,9,0.2,33.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0,0,0,5.1
Valur,Ragnhildur Edda Þórðardóttir,2020/21,17,1.2,50,0,0,0.2,0,0,0,0,0.2,0,0,0.3,0.2,0,0.1,0,0.1,0,5.3
Valur,Ragnhildur Edda Þórðardóttir,2019/20,18,1.7,57.4,0,0,0.1,0.1,0.1,100,0,0.2,0.33,0.33,0.1,0.3,0,0.3,0,0,0,5.5
Valur,Ragnhildur Edda Þórðardóttir,2018/19,27,2.3,64.2,0,0,0.1,0,0,0,0,0.6,0.06,0.13,0.2,0.8,0,0.4,0,0,0,5.7
Valur,Ragnhildur Edda Þórðardóttir,2017/18,17,1.6,71.8,0,0,0.2,0,0,0,0,0.3,0,0,0.2,0.3,0,0.6,0,0,0,5.6
Selfoss,Rakel Guðjónsdóttir,2022/23,21,2.9,55.6,0,0,0.1,0.1,0.1,100,0,0.6,0.17,0.17,0.5,0.3,0,0.4,0,0.1,0,5.7
Haukar,Rakel Sigurðardóttir,2021/22,17,1.5,73.5,0,0,0.6,0.2,0.3,80,0,0.2,1,1.25,0.5,0.6,0.7,2.9,0.2,0.8,0,6
Haukar,Rakel Sigurðardóttir,2020/21,16,1.6,70.3,0,0,0.3,0.1,0.1,100,0,0.5,0.25,0.25,0.3,0.3,0.6,3.3,0.3,0.6,0,5.8
Haukar,Rakel Sigurðardóttir,2019/20,17,0.7,75,0,0,0.1,0.1,0.1,100,0,0.3,0.2,0.2,0.4,0.2,0.4,2.3,0.1,0.6,0.1,5.2
Selfoss,Rakel Guðjónsdóttir,2018/19,20,0.7,44.8,0,0,0.1,0.1,0.1,100,0,0.2,0.25,0.25,0.1,0,0.1,0.3,0,0.1,0,5.1
Haukar,Rakel Sigurðardóttir,2018/19,19,0.5,69.2,0.1,100,0.2,0.1,0.1,100,0,0.3,0.33,0.33,0.1,0.1,0.3,1.7,0.2,0.2,0,5.3
Selfoss,Rakel Guðjónsdóttir,2017/18,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,5.1
Haukar,Rakel Sigurðardóttir,2017/18,14,1.1,72.7,0.1,100,0.4,0.1,0.1,100,0,0.2,0.33,0.33,0.4,0.5,0.9,1.9,0.4,0.6,0.1,5.6
Stjarnan,Rakel Dórothea Ágústsdóttir,2023/24,11,0.5,29.4,0,0,0,0.1,0.1,100,0,0.5,0.2,0.2,0.1,0.1,0,0,0,0,0,5
HK,Rakel Dórothea Ágústsdóttir,2022/23,4,0.3,33.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
Stjarnan,Rakel Dögg Bragadóttir,2019/20,10,3,46.2,0,0,0.1,2.6,4,65,1,1.2,2.17,3.33,0.1,1.1,0.8,2.3,0.1,0.4,0,6.7
