Lið,Nafn,Tímabil,Leikir,Varin,% Varsla,Mörk á,Víti Varin,Víta %,Stl,Mörk,Stoð,TB,Gul,2Mín,Rau
IBV,Páll Eiríksson,2018/19,1,5,27.8,13,0,0,0,0,0,0,0,0,0
Afturelding,Pálmar Pétursson,2018/19,23,5,28.9,12.4,0.3,17.5,0.1,0.1,0.1,0,0,0,0
Afturelding,Pálmar Pétursson,2017/18,2,0,0,0,0,0,0,0,0,0,0,0,0
IBV,Petar Jokanovic,2023/24,28,7.7,32.5,16,0.2,13.9,0,0.1,0.6,0.1,0,0,0
IBV,Petar Jokanovic,2022/23,30,7.3,30.5,16.6,0.6,26,0,0.2,0.2,0.1,0,0,0
IBV,Petar Jokanovic,2021/22,30,5.9,25.2,17.5,0.4,18.6,0.1,0.2,0.3,0.2,0,0,0
IBV,Petar Jokanovic,2020/21,26,8.6,31.7,18.5,0.5,25,0,0.1,0.3,0.2,0,0,0
IBV,Petar Jokanovic,2019/20,20,7.3,28.9,17.9,0.5,20.5,0.2,0.4,0.4,0.1,0,0,0
FH,Phil Döhler,2022/23,26,11.7,32.5,24.3,0.5,16.7,0.2,0.1,0.7,0.2,0,0,0
FH,Phil Döhler,2021/22,23,12.2,35.7,22,0.4,14.1,0,0.2,0.4,0.4,0,0,0
FH,Phil Döhler,2020/21,20,11.2,32.9,22.7,0.6,18.8,0,0.4,0.6,0.4,0,0,0
FH,Phil Döhler,2019/20,20,11.3,34.9,21.1,0.4,12.5,0.1,0.1,0.4,0.2,0,0,0
Hordur,Rolands Lebedevs,2022/23,21,5.8,21.9,20.7,0.4,20.9,0,0.1,0.1,0.1,0,0,0
HK,Róbert Örn Karlsson,2023/24,18,2.4,25.4,7.2,0.1,11.8,0.1,0,0.1,0,0,0,0
HK,Róbert Örn Karlsson,2021/22,20,1.5,20,5.8,0.3,23.1,0,0,0,0,0,0,0
Fram,Róbert Örn Karlsson,2020/21,9,0.2,16.7,1.1,0.1,16.7,0,0,0,0,0,0,0
IR,Rökkvi Pacheco Steinunnarson,2022/23,22,1.2,24.8,3.6,0.1,16.7,0,0,0,0,0,0,0
Valur,Sakai Motoki,2022/23,23,3.6,28.3,9,0.2,22.2,0,0,0.1,0.1,0,0,0
Valur,Sakai Motoki,2021/22,28,2,30.3,4.6,0.1,9.1,0,0,0.1,0,0,0,0
Grotta,Shuhei Narayama,2023/24,19,2.5,28.3,6.3,0.3,27.8,0.1,0,0.1,0.1,0,0,0
Stjarnan,Sigurður Dan Óskarsson,2023/24,24,5.2,30.2,12,0.3,20.5,0,0,0.1,0.2,0,0,0
Stjarnan,Sigurður Dan Óskarsson,2022/23,17,4.3,32.7,8.8,0.4,23.1,0.2,0.1,0.3,0.2,0.1,0,0
Stjarnan,Sigurður Dan Óskarsson,2021/22,17,2.1,26.7,5.6,0.1,16.7,0,0,0,0.1,0,0,0
Stjarnan,Sigurður Dan Óskarsson,2020/21,23,1.9,29.7,4.5,0.3,34.8,0.1,0,0,0,0,0,0
FH,Sigurður Dan Óskarsson,2019/20,1,0,0,9,0,0,0,0,0,0,0,0,0
IR,Sigurður Ingiberg Ólafsson,2019/20,20,12,34.4,22.8,0.3,16.7,0.1,0.1,0.7,0.3,0,0,0
Stjarnan,Sigurður Ingiberg Ólafsson,2018/19,21,4.9,29.8,11.4,0.6,48.1,0,0,0.2,0.2,0,0,0
Valur,Sigurður Ingiberg Ólafsson,2017/18,24,8.2,33.1,16.5,0.5,24.5,0,0,0.4,0.2,0,0,0
HK,Sigurður Örn Arnarsson,2021/22,2,1,25,3,0,0,0,0,0,0.5,0,0,0
Stjarnan,Sigurður Örn Arnarsson,2019/20,3,0,0,0.7,0,0,0,0,0,0,0,0,0
HK,Sigurjón Guðmundsson,2023/24,22,10.3,30.8,23.1,0.3,20.6,0.3,0.2,0.2,0.2,0,0,0
HK,Sigurjón Guðmundsson,2021/22,22,9.8,30.2,22.6,0.4,15.7,0.1,0,0.4,0.2,0,0,0
Valur,Stefán Pétursson,2023/24,8,1,29.6,2.4,0,0,0,0,0.1,0,0,0,0
Valur,Stefán Pétursson,2022/23,3,0.7,20,2.7,0,0,0,0,0.3,0,0,0,0
Valur,Stefán Pétursson,2021/22,4,0.5,25,1.5,0.5,66.7,0,0,0,0,0,0,0
Hordur,Stefán Freyr Jónsson,2022/23,18,2.7,24.5,8.4,0.2,22.2,0,0,0.1,0,0,0,0
Haukar,Stefán Huldar Stefánsson,2022/23,4,5.3,31.8,11.3,0.3,12.5,0,0,0,0.3,0,0,0
Haukar,Stefán Huldar Stefánsson,2021/22,26,5.8,27.7,15,0.2,10.6,0,0,0,0,0,0,0
Grotta,Stefán Huldar Stefánsson,2020/21,20,12.3,35.1,22.7,0.7,23.6,0.1,0.1,0.6,0.1,0,0,0
HK,Stefán Huldar Stefánsson,2019/20,16,4.9,30.6,11.1,0.3,26.3,0,0,0.3,0.1,0,0,0
Stjarnan,Stephen Christian D. Nielsen,2019/20,5,8.6,36.1,15.2,0.2,11.1,0,0,0.8,0.2,0.2,0,0
IR,Stephen Christian D. Nielsen,2018/19,24,10.5,30.9,23.5,0.5,19,0.1,0.2,0.5,0.2,0,0,0
IBV,Stephen Christian D. Nielsen,2017/18,17,6.1,35.3,11.1,0.2,14.3,0.1,0.2,0.2,0.1,0.1,0,0
FH,Svavar Ingi Sigmundsson,2022/23,1,1,25,3,1,50,0,0,0,0,0,0,0
