Lið,Nafn,Tímabil,Leikir,Mörk,%,Víti,V%,FiV,Sto,Sk.F,P%,S7m,TB,Sto/TB,Sk.F/TB,Frk,Stl,Blk,Stp,Gul,2m,Rau,Eink
Afturelding,Egill Már Hjartarson,2018/19,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
IR,Egill Skorri Vigfússon,2022/23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
IR,Egill Skorri Vigfússon,2020/21,1,1,33.3,1,33.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
Fram,Eiður Rafn Valsson,2023/24,24,2,66.2,0.2,66.7,0.1,0.1,0.1,100,0,0.2,0.5,0.5,0.7,0.3,0,0.2,0,0,0,5.7
Fram,Eiður Rafn Valsson,2022/23,6,0.3,33.3,0,0,0,0.2,0.2,100,0,0,0,0,0,0.2,0,0,0,0,0,5.1
Selfoss,Einar Sverrisson,2023/24,21,3.6,45.8,1.1,82.1,0.1,2.4,3.9,61.4,0.2,1.2,2.04,3.32,0.1,0.6,0.3,3.1,0.1,0.3,0,6.5
Selfoss,Einar Sverrisson,2022/23,24,6,54.7,1.6,77.6,0.3,3,4,75.3,0.5,1.5,2.03,2.69,0.7,0.5,0.3,2.7,0.2,0.4,0,7.4
Selfoss,Einar Sverrisson,2021/22,20,4.9,55.1,1.8,75,0.4,1.6,2.2,74.4,0.2,1.6,1.03,1.39,0.8,0.3,0.5,3.9,0.3,0.4,0,6.9
Selfoss,Einar Sverrisson,2020/21,24,3.2,51,0.2,62.5,0.3,1.9,2.6,72.6,0.3,1.5,1.25,1.72,0.3,0.4,0.3,2.5,0.1,0.3,0,6.3
Selfoss,Einar Sverrisson,2019/20,6,4.5,64.3,0.7,100,0.7,1.5,1.8,81.8,0,1.5,1,1.22,0.2,0.2,0.2,1.7,0,0.5,0.2,6.4
Selfoss,Einar Sverrisson,2018/19,18,2.9,54.6,0.7,57.1,0.5,1.4,1.8,76.5,0.2,1.1,1.3,1.7,0.3,0.5,0.2,2.2,0.1,0.6,0,6.2
Selfoss,Einar Sverrisson,2017/18,29,4.7,65.1,0.8,88.9,0.1,1.8,2.6,70.3,0.3,0.9,1.93,2.74,0.5,0.5,0.3,2.3,0.2,0.6,0,7
KA,Einar Birgir Stefánsson,2023/24,24,2.5,78.9,0,0,0.9,0.2,0.2,100,0,0.7,0.31,0.31,0.5,0.3,0.4,2.5,0.1,0.3,0,6.3
KA,Einar Birgir Stefánsson,2022/23,16,2.4,72.2,0,0,0.9,0.3,0.4,83.3,0.1,0.5,0.63,0.75,0.4,0.6,0.2,2.3,0.3,0.4,0,6.2
KA,Einar Birgir Stefánsson,2021/22,25,1.8,60.5,0,100,0.7,0.1,0.2,50,0,0.6,0.2,0.4,0.4,0.4,0.4,4.4,0,0.4,0,6.1
KA,Einar Birgir Stefánsson,2020/21,24,2.2,74.3,0,0,0.5,0.1,0.2,60,0,0.7,0.19,0.31,0.6,0.4,0.7,2.8,0.2,0.4,0,6.1
KA,Einar Birgir Stefánsson,2019/20,20,1.2,74.2,0,0,0.6,0.1,0.2,33.3,0.1,0.2,0.33,1,0.5,0.4,0.5,1.8,0.1,0.3,0.1,5.7
KA,Einar Birgir Stefánsson,2018/19,22,1,66.7,0,100,0.6,0.1,0.2,50,0,0.4,0.25,0.5,0.1,0.1,0.4,1.4,0.1,0.3,0,5.5
FH,Einar Bragi Aðalsteinsson,2023/24,32,3.7,50.4,0,0,0.4,2.3,3.4,67.3,0.4,1.6,1.48,2.2,0.5,1,0.8,4.4,0.3,0.7,0,7
FH,Einar Bragi Aðalsteinsson,2022/23,27,4.8,56.3,0,0,0.8,2,2.6,76.4,0.3,2,1.04,1.36,0.5,0.9,0.9,4.4,0,0.7,0,7.2
HK,Einar Bragi Aðalsteinsson,2021/22,17,6.4,53.4,0.8,72.2,0.8,2.1,2.7,76.1,0.2,1.4,1.46,1.92,0.4,0.6,0.2,2.8,0,0.1,0,7.4
Afturelding,Einar Ingi Hrafnsson,2022/23,29,3.2,79.7,0,0,0.8,0.1,0.1,80,0,0.4,0.36,0.45,0.3,0.1,0.3,0.9,0.1,0.5,0.1,6.1
Afturelding,Einar Ingi Hrafnsson,2021/22,18,1.6,82.4,0,0,0.4,0.1,0.1,100,0.1,0.4,0.29,0.29,0.5,0.2,0.7,2.2,0.3,0.5,0,5.8
Afturelding,Einar Ingi Hrafnsson,2020/21,22,1.5,71.7,0,0,0.5,0.1,0.2,60,0,0.3,0.5,0.83,0.2,0.4,0.7,1.9,0,0.5,0,5.8
Afturelding,Einar Ingi Hrafnsson,2019/20,20,1.4,79.4,0,0,0.7,0.3,0.4,83.3,0,0.6,0.42,0.5,0.2,0.4,0.8,3.1,0.2,0.7,0.2,5.6
Afturelding,Einar Ingi Hrafnsson,2018/19,24,2,69,0,0,0.7,0.1,0.2,50,0,0.3,0.25,0.5,0.3,0.3,0.5,1.9,0,0.5,0.1,5.8
Afturelding,Einar Ingi Hrafnsson,2017/18,22,2.3,69.9,0.1,66.7,0.4,0.2,0.2,100,0,0.5,0.36,0.36,0.5,0.4,0.2,1.3,0.3,0.5,0,5.8
KA,Einar Logi Friðjónsson,2019/20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
KA,Einar Logi Friðjónsson,2018/19,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,5.1
HK,Einar Pétur Pétursson,2021/22,16,2.6,65.1,1.5,64.9,0.4,0.3,0.4,83.3,0,0.8,0.42,0.5,0.4,0.4,0,0.7,0,0.1,0,5.9
Haukar,Einar Pétur Pétursson,2019/20,20,2.5,70.4,0,0,0.4,0.1,0.3,40,0,0.3,0.33,0.83,0.7,0.6,0,0.7,0,0.2,0,6
Haukar,Einar Pétur Pétursson,2018/19,25,0.9,62.2,0.1,50,0.1,0,0.1,0,0,0.3,0,0.29,0.3,0.2,0,0.8,0,0.2,0,5.2
Haukar,Einar Pétur Pétursson,2017/18,4,0.8,60,0,0,0,0,0,0,0,0.3,0,0,0.3,0.3,0,0.5,0,0,0,5.3
KA,Einar Rafn Eiðsson,2023/24,24,6.7,58.5,2.3,74.7,0.3,4.3,6.4,67.5,0.6,2.1,2.04,3.02,0.7,0.2,0,1.8,0.1,0.6,0,7.8
KA,Einar Rafn Eiðsson,2022/23,22,7.4,62.1,2.8,80.5,0.5,3.7,5.8,63.6,0.9,2.2,1.71,2.69,0.3,0.3,0,2.5,0.2,0.6,0,7.9
KA,Einar Rafn Eiðsson,2021/22,17,3.9,53.7,0.7,75,0.7,3.5,6.1,57.1,0.7,1.9,1.88,3.28,0.5,0.4,0,2.8,0.2,0.4,0,7.3
