Lið,Nafn,Tímabil,Leikir,Varin,% Varsla,Mörk á,Víti Varin,Víta %,Stl,Mörk,Stoð,TB,Gul,2Mín,Rau
Fram,Heiðrún Dís Magnúsdóttir,2019/20,4,1,25,3,0.3,33.3,0,0,0,0,0,0,0
Fram,Heiðrún Dís Magnúsdóttir,2018/19,13,2.8,35.2,5.2,0.2,25,0.1,0,0.1,0.1,0,0,0
Fram,Heiðrún Dís Magnúsdóttir,2017/18,15,1,45.5,1.2,0.2,37.5,0,0,0,0.1,0,0,0
Valur,Hekla Soffía Gunnarsdóttir,2023/24,1,0,0,0,0,0,0,0,0,0,0,0,0
IR,Hildur Öder Einarsdóttir,2023/24,23,5.3,30.4,12.2,0.6,23,0,0.1,0.2,0.2,0,0,0
Stjarnan,Hildur Öder Einarsdóttir,2020/21,8,5.5,32.6,11.4,0.3,22.2,0,0,0.3,0.4,0,0,0
Stjarnan,Hildur Öder Einarsdóttir,2019/20,14,4.2,30.6,9.6,0.4,20.7,0.1,0,0.4,0.1,0,0,0
Stjarnan,Hildur Öder Einarsdóttir,2018/19,20,7.9,31.6,17,0.2,6.8,0.1,0,0.3,0.2,0.1,0,0
Valur,Hrafnhildur Anna Þorleifsdóttir,2023/24,4,1.5,31.6,3.3,0.3,33.3,0,0,0,0,0,0,0
Valur,Hrafnhildur Anna Þorleifsdóttir,2022/23,28,3.3,32.1,7,0.2,16.1,0,0,0.1,0.1,0,0,0
FH,Hrafnhildur Anna Þorleifsdóttir,2020/21,10,9.9,30.7,22.4,0.6,20,0,0.1,0.1,0.2,0,0.2,0
HK,Ingibjörg Gróa Guðmundsdóttir,2021/22,18,1.7,21.1,6.4,0.1,10,0,0,0,0,0,0,0
HK,Ingibjörg Gróa Guðmundsdóttir,2020/21,2,1.5,37.5,2.5,0,0,0,0,0,0,0,0,0
HK,Ingibjörg Gróa Guðmundsdóttir,2019/20,2,0,0,0.5,0,0,0,0,0,0,0,0,0
HK,Ingibjörg Gróa Guðmundsdóttir,2018/19,1,0,0,0,0,0,0,0,0,0,0,0,0
Fram,Ingunn María Brynjarsdóttir,2023/24,11,2.2,28.2,5.5,0.2,25,0,0,0.1,0.2,0,0,0
Fram,Ingunn María Brynjarsdóttir,2022/23,14,0.9,28.3,2.4,0.1,10,0,0,0.1,0,0,0,0
Fram,Ingunn María Brynjarsdóttir,2021/22,10,0.2,66.7,0.1,0,0,0,0,0,0,0,0,0
Fram,Írena Björk Ómarsdóttir,2021/22,26,1.5,31.5,3.3,0.3,23.1,0,0,0,0.1,0,0,0
FH,Írena Björk Ómarsdóttir,2020/21,11,4.7,22.1,16.6,0.2,6.3,0.1,0,0,0.1,0,0,0
Stjarnan,Írena Björk Ómarsdóttir,2019/20,5,2.4,21.4,8.8,0.2,11.1,0,0,0,0,0,0,0
Stjarnan,Írena Björk Ómarsdóttir,2018/19,18,2.9,26.7,7.9,0.1,13.3,0.1,0,0.2,0.1,0,0,0
Stjarnan,Írena Björk Ómarsdóttir,2017/18,1,1,14.3,6,0,0,0,0,0,0,0,0,0
Valur,Íris Björk Símonardóttir,2019/20,17,14.3,43.7,18.4,0.3,11.9,0.1,0,0.6,0.7,0,0,0
Valur,Íris Björk Símonardóttir,2018/19,27,13.7,42.5,18.6,0.5,20.3,0.2,0,1.5,0.6,0,0,0
IR,Ísabella Schöbel Björnsdóttir,2023/24,21,6.1,28.8,15.2,0.3,18.2,0,0,0.3,0.1,0,0,0
HK,Jenný Dís Guðmundsdóttir,2022/23,1,0,0,2,0,0,0,0,0,0,0,0,0
Haukar,Karen Birna Aradóttir,2020/21,3,2,26.1,5.7,0,0,0,0,0,0.7,0,0,0
Fjolnir,Karen Birna Aradóttir,2017/18,19,3.9,23.6,12.6,0.2,16,0,0,0,0.2,0,0,0
Fram,Katrín Ósk Magnúsdóttir,2020/21,16,6,30.6,13.6,0.3,16.1,0,0,0.3,0.1,0,0,0
Fram,Katrín Ósk Magnúsdóttir,2019/20,18,6.4,36.1,11.4,0.2,14.3,0.2,0.1,0.9,0.1,0,0,0
Selfoss,Katrín Ósk Magnúsdóttir,2018/19,21,10.6,30.3,24.4,0.4,16.3,0.3,0,0.3,0.1,0,0,0
Stjarnan,Klaudia Powaga,2020/21,1,2,66.7,1,0,0,0,0,0,0,0,0,0
Stjarnan,Klaudia Powaga,2019/20,17,6.4,29.4,15.2,0.3,14.3,0.1,0.1,0.4,0.1,0,0,0
Haukar,Margrét Einarssdóttir,2023/24,29,10,33.9,19.5,0.6,16.2,0.2,0,0.3,0.2,0,0,0
Haukar,Margrét Einarssdóttir,2022/23,27,9.6,29.6,22.7,0.4,14.7,0.3,0,0.3,0.2,0,0,0
Haukar,Margrét Einarssdóttir,2021/22,23,7.1,33.1,14.3,0.5,21.2,0,0,0.2,0.1,0,0,0
Valur,Margrét Einarssdóttir,2020/21,5,4.6,40.4,6.8,0,0,0,0,0.2,0,0,0,0
HK,Margrét Ýr Björnsdóttir,2022/23,14,5.2,24.6,16,0.1,7.4,0,0,0.2,0.1,0,0.1,0
HK,Margrét Ýr Björnsdóttir,2021/22,20,9,29.6,21.5,0.8,18.8,0.2,0.2,0,0.1,0,0,0
HK,Margrét Ýr Björnsdóttir,2018/19,1,0,0,0,0,0,0,0,0,0,0,0,0
IBV,Marta Wawrzykowska,2023/24,25,12.2,36.8,21,0.8,23.8,0.1,0,0.6,0.3,0,0,0
IBV,Marta Wawrzykowska,2022/23,29,13.9,38.7,22,0.8,24.2,0.1,0,1.1,0.4,0,0,0
IBV,Marta Wawrzykowska,2021/22,27,10.5,35.4,19.1,0.7,22.4,0,0.4,1,0.4,0,0,0
IBV,Marta Wawrzykowska,2020/21,19,10.6,36,18.8,0.4,17.1,0.1,0.2,0.5,0.2,0,0,0
